# Time-averaged data for fix at2
# TimeStep f_mysf1[1] f_mysf2[1]
158000 4.52773e-15 4.52773e-15
159000 -3.05445e-15 -3.05445e-15
160000 -8.33639e-16 -8.33639e-16
161000 -7.29828e-15 -7.29828e-15
162000 -4.10313e-15 -4.10313e-15
163000 -2.13457e-15 -2.13457e-15
164000 2.98575e-15 2.98575e-15
165000 4.30337e-16 4.30337e-16
166000 3.91157e-15 3.91157e-15
167000 -5.07008e-16 -5.07008e-16
168000 2.95642e-15 2.95642e-15
169000 -4.56919e-15 -4.56919e-15
170000 -8.17384e-16 -8.17384e-16
171000 4.41073e-15 4.41073e-15
172000 1.50487e-15 1.50487e-15
173000 -1.04833e-15 -1.04833e-15
174000 -1.05901e-15 -1.05901e-15
175000 -7.4241e-16 -7.4241e-16
176000 -2.70211e-15 -2.70211e-15
177000 -2.3709e-15 -2.3709e-15
178000 4.57102e-15 4.57102e-15
179000 2.27995e-15 2.27995e-15
180000 5.14234e-15 5.14234e-15
181000 -4.31512e-16 -4.31512e-16
182000 1.89957e-15 1.89957e-15
183000 5.33067e-15 5.33067e-15
184000 6.04909e-15 6.04909e-15
185000 -2.38367e-15 -2.38367e-15
186000 9.88068e-16 9.88068e-16
187000 3.89033e-15 3.89033e-15
188000 3.02e-15 3.02e-15
189000 2.54377e-16 2.54377e-16
190000 6.31925e-16 6.31925e-16
191000 -2.3274e-15 -2.3274e-15
192000 -2.06466e-15 -2.06466e-15
193000 2.07892e-15 2.07892e-15
194000 -2.41617e-15 -2.41617e-15
195000 1.81883e-15 1.81883e-15
196000 -1.54257e-15 -1.54257e-15
197000 -4.56891e-16 -4.56891e-16
198000 -5.45848e-16 -5.45848e-16
199000 3.07136e-15 3.07136e-15
200000 -1.24982e-15 -1.24982e-15
201000 -5.44103e-15 -5.44103e-15
202000 1.35095e-15 1.35095e-15
203000 -1.68849e-15 -1.68849e-15
204000 1.52801e-15 1.52801e-15
205000 4.15713e-15 4.15713e-15
206000 4.30438e-15 4.30438e-15
207000 -2.19375e-15 -2.19375e-15
208000 1.72754e-15 1.72754e-15
209000 2.62878e-15 2.62878e-15
210000 4.04913e-15 4.04913e-15
211000 4.91324e-15 4.91324e-15
212000 3.46728e-16 3.46728e-16
213000 4.58805e-15 4.58805e-15
214000 -4.08918e-16 -4.08918e-16
215000 -1.87957e-15 -1.87957e-15
216000 -3.66633e-15 -3.66633e-15
217000 1.69592e-15 1.69592e-15
